Date,Close,High,Low,Open,Volume,Ticker
2024-07-03,219.64730834960938,219.64730834960938,217.14894613859082,218.11061688690268,37369800,AAPL
2024-07-05,224.3961944580078,224.50525038603786,219.74646963306245,219.74646963306245,60412400,AAPL
2024-07-08,225.8634796142578,225.89322076278884,221.3327197032473,225.13973799267995,59085900,AAPL
2024-07-09,226.71607971191406,227.42989753320916,224.4259205051531,225.97252074204383,48076100,AAPL
2024-07-10,230.97914123535156,231.07828847688273,227.28117906796422,227.3307526887298,62627700,AAPL
2024-07-11,225.61561584472656,230.39421338925845,223.83107137940016,229.40280147827102,64710600,AAPL
2024-07-12,228.5601043701172,230.64207551688347,226.71607753741577,226.9540218514806,53046500,AAPL
2024-07-15,232.386962890625,235.1926606193721,231.0882156126273,234.44910163171727,62631300,AAPL
2024-07-16,232.80337524414062,234.2409196318231,230.3347538954296,232.98182214446476,43234300,AAPL
2024-07-17,226.91436767578125,229.47221227385296,224.69359950369105,227.47946461019197,57345900,AAPL
2024-07-18,222.2547149658203,228.46096321097224,220.36112971273346,228.3023336745397,66034600,AAPL
2024-07-19,222.38360595703125,224.8522270905052,221.36245288688534,222.88923571935766,49151500,AAPL
2024-07-22,222.03660583496094,225.8237912569016,221.17406723372827,225.06039989232605,48201800,AAPL
2024-07-23,223.07760620117188,224.9910392063895,220.7676144514488,222.44310313331528,39960300,AAPL
2024-07-24,216.6631622314453,222.86941075843336,215.26528287042115,222.07627816799848,61777600,AAPL
2024-07-25,215.62217712402344,218.95332167523742,212.77681471652627,217.0497975364767,51391200,AAPL
2024-07-26,216.08815002441406,217.6050090608147,214.15488466672127,216.8217851678197,41601300,AAPL
2024-07-29,216.36573791503906,217.41663210574902,213.89711684474761,215.0967318967012,36311800,AAPL
2024-07-30,216.92092895507812,218.43778796730905,214.2639371695869,217.3075789949067,41643800,AAPL
2024-07-31,220.1727752685547,221.89783756706774,218.73523091700034,219.53827220377053,50036300,AAPL
2024-08-01,216.48472595214844,222.55216258005441,215.15623749650504,222.44310665442717,62501000,AAPL
2024-08-02,217.97181701660156,223.6625266661827,215.8402875210575,217.26790792406092,105568600,AAPL
2024-08-05,207.47279357910156,211.6664621054212,194.3167520967801,197.3802115476467,119548600,AAPL
2024-08-06,205.45028686523438,208.18659343179937,199.34320096724198,203.53686913101606,69660500,AAPL
2024-08-07,208.01806640625,211.80525225793107,204.61751548926864,205.12313014700663,63516400,AAPL
2024-08-08,211.47808837890625,212.36044444161047,207.0365669160157,211.27980900719393,47161100,AAPL
2024-08-09,214.3829345703125,214.91829038971974,210.1496011292121,210.27848952903548,42201600,AAPL
2024-08-12,215.9114532470703,217.8767166928247,213.99582080224636,214.46232494953352,38028100,AAPL
2024-08-13,219.62362670898438,220.2390087017958,217.38043273085663,217.38043273085663,44155300,AAPL
2024-08-14,220.07029724121094,221.37054778476931,218.06532277692483,218.92885985517657,41960600,AAPL
2024-08-15,223.0479736328125,223.67329096872731,221.10255033510867,222.9288713384501,46414000,AAPL
2024-08-16,224.3680877685547,225.1422830006272,221.98593577772976,222.25393109506462,44340200,AAPL
2024-08-19,224.2092742919922,224.30853630427512,221.38047353975193,224.04054098731652,40687800,AAPL
2024-08-20,224.82464599609375,225.47973889834265,223.7725353535306,224.0901616619868,30299000,AAPL
2024-08-21,224.71546936035156,226.28371522001356,223.37552309496598,224.8345868015738,34765500,AAPL
2024-08-22,222.85939025878906,226.64103964823346,222.23407290784718,226.09512887719345,43695300,AAPL
2024-08-23,225.1521759033203,226.52191275369313,222.66085720360698,223.98096305377334,38677300,AAPL
2024-08-26,225.4896697998047,225.58893181224732,222.22415556593285,225.07279660900764,30602200,AAPL
2024-08-27,226.33334350585938,227.14724957253156,223.21670725505913,224.31844891527626,35934600,AAPL
2024-08-28,224.80479431152344,228.14971479709,224.0008084384826,226.22414704916858,38052200,AAPL
2024-08-29,228.0802459716797,231.18696212304621,227.1770283167567,228.3879521456165,51906300,AAPL
2024-08-30,227.29612731933594,228.68570457235603,225.78743262658827,228.4772755570311,52990800,AAPL
2024-09-03,221.1124725341797,227.29611365629745,219.52437135882835,226.84946493362216,50190600,AAPL
2024-09-04,219.20675659179688,220.1298295937355,215.86182100754215,220.01072730838987,43840200,AAPL
2024-09-05,220.7253875732422,223.80231295165626,219.87178579311316,219.9809679444758,36615400,AAPL
2024-09-06,219.17697143554688,223.5640821152314,218.13478104858405,222.28367202274,48423000,AAPL
2024-09-09,219.26632690429688,219.6236489368284,215.09757995493325,219.17700018247805,67180000,AAPL
2024-09-10,218.47225952148438,219.83206111139577,215.1174037589381,217.29111136152258,51591000,AAPL
2024-09-11,221.0032958984375,221.43008920211523,216.26878297144034,219.81222755985956,44587100,AAPL
2024-09-12,221.1124725341797,221.88666769221828,218.18442519080247,220.8444772424724,37455600,AAPL
2024-09-13,220.844482421875,222.37301734416337,220.25887596851652,221.91644846858938,36766600,AAPL
2024-09-16,214.71047973632812,215.60377723416104,212.32832783334672,214.92882889414335,59357400,AAPL
2024-09-17,215.17697143554688,215.28615358843467,212.904016801209,214.14471619981742,45519300,AAPL
2024-09-18,219.04795837402344,221.05293280374121,215.92138686335736,215.9313221513165,59894900,AAPL
2024-09-19,227.16709899902344,228.11004268622213,222.95865620671253,223.31597824995185,66781300,AAPL
2024-09-20,226.50205993652344,231.35567496568984,225.9263736470506,228.25889437635817,318679900,AAPL
2024-09-23,224.7849578857422,227.74278104335218,224.12986496132828,225.64847983003366,54146000,AAPL
2024-09-24,225.67825317382812,227.64353192764617,224.05045616714196,226.94872814757065,43556100,AAPL
2024-09-25,224.68568420410156,225.59883710649478,222.35317851779175,223.2563961324406,42308700,AAPL
2024-09-26,225.82716369628906,226.79986786044512,223.7328623413079,225.6087993733805,36636700,AAPL
2024-09-27,226.09510803222656,227.81224676693589,225.60876359989413,226.76013618443497,34026000,AAPL
2024-09-30,231.26637268066406,231.26637268066406,227.94129216556473,228.32838978012126,54541900,AAPL
2024-10-01,224.5269012451172,227.94129335648356,222.0752779583648,227.81227091446172,63285000,AAPL
2024-10-02,225.0926513671875,225.67825786117984,221.36063294746157,224.2092739820147,32880600,AAPL
2024-10-03,223.99087524414062,225.12239234050705,221.65836976978886,223.46481998018766,34044200,AAPL
2024-10-04,225.11248779296875,226.3035561118749,222.46235586119454,226.20429410810965,37245100,AAPL
2024-10-07,220.04051208496094,224.01074997862722,219.68319006872073,222.8296017820206,39505400,AAPL
2024-10-08,224.0901641845703,224.298593199742,221.58890998571715,222.63110049734397,31855700,AAPL
2024-10-09,227.83209228515625,228.0405364361267,223.15714569962594,223.55416342639623,33591100,AAPL
2024-10-10,227.3358154296875,227.7923994519787,225.47973405841245,226.0851959438118,28183500,AAPL
2024-10-11,225.85691833496094,227.70307961960657,225.6484741750507,227.5938974682738,31759200,AAPL
2024-10-14,229.57899475097656,230.00578802790554,226.89908737082214,226.998334224751,39882100,AAPL
2024-10-15,232.11004638671875,235.7229623804217,230.6410474142004,231.87182665313995,64751400,AAPL
2024-10-16,230.05543518066406,230.3929017691756,228.12986736523644,229.87678174389526,34082200,AAPL
2024-10-17,230.4226837158203,232.11004699556463,228.8048220166126,231.69315867439417,32993800,AAPL
2024-10-18,233.25148010253906,234.4226930307779,232.26884075534687,234.4226930307779,46431500,AAPL
2024-10-21,234.72044372558594,235.08770100400858,232.70554934615632,232.70554934615632,36254500,AAPL
2024-10-22,234.10508728027344,234.4624093106695,230.86934872103873,232.14974382855843,38846600,AAPL
2024-10-23,229.0430145263672,233.3904297884605,226.06533615950997,232.33831918874512,52287000,AAPL
2024-10-24,228.8544464111328,229.10258628095696,226.71051430099084,228.26882480795348,31109500,AAPL
2024-10-25,229.68817138671875,231.48470145399645,227.8618657494506,228.03059902781462,38802300,AAPL
2024-10-28,231.6633758544922,232.98348177622344,230.81970938626554,231.5839844241638,36087100,AAPL
2024-10-29,231.93138122558594,232.5864741436605,230.59143496071306,231.36563017470797,35417200,AAPL
2024-10-30,228.38792419433594,231.7328445287285,227.84201349481597,230.87924283818487,47070900,AAPL
2024-10-31,224.22911071777344,228.11994197442104,223.693120129287,227.63358238786932,64370100,AAPL
2024-11-01,221.25143432617188,223.67328184782377,218.6310779402587,219.32586653780092,65276700,AAPL
2024-11-04,220.35812377929688,221.13231895883285,218.0752491010658,219.34572401852256,44944500,AAPL
2024-11-05,221.78741455078125,222.28369429475046,219.49460455688452,220.14969745378525,28111300,AAPL
2024-11-06,221.0628204345703,224.38790032706876,219.5442058352571,220.9536382998695,54561100,AAPL
2024-11-07,225.7874298095703,226.18446269494834,222.89909318788202,222.95864433437472,42137700,AAPL
2024-11-08,225.51914978027344,227.20835428792034,224.9726384261151,225.72780810336752,38328800,AAPL
2024-11-11,222.8064727783203,224.26714170400084,220.0938084143074,223.57158868270503,42005600,AAPL
2024-11-12,222.8064727783203,224.15783943194586,221.9420008205612,223.12444853772337,40398300,AAPL
2024-11-13,223.69082641601562,225.2111120360391,221.34580821096,222.58787261698694,48566200,AAPL
2024-11-14,226.7711639404297,227.41703140021204,223.57160465201176,223.59148192887395,44923900,AAPL
2024-11-15,223.5716094970703,225.47941874534823,222.84624807603967,224.96271566917292,47923700,AAPL
2024-11-18,226.5724334716797,228.28151537171908,223.74052045447314,223.82001439888424,44633700,AAPL
2024-11-19,226.8307342529297,228.6988036862914,225.22102388021733,225.53898443543312,36211800,AAPL
2024-11-20,227.54620361328125,228.4702922716314,224.45594670445817,226.61216873586113,35169600,AAPL
2024-11-21,227.0692596435547,228.6988476019872,224.27710117470866,227.42697481306035,42108300,AAPL
2024-11-22,228.41067504882812,229.25528492407807,226.61216818417898,226.61216818417898,38168300,AAPL
2024-11-25,231.39163208007812,231.76922452168117,228.2815130321861,229.99059491471002,90152800,AAPL
2024-11-26,233.56771850585938,234.07449047305911,231.84870566104107,231.84870566104107,45986200,AAPL
2024-11-27,233.43853759765625,234.1937224347506,232.32565277909848,232.9814664022851,33498400,AAPL
2024-11-29,235.8233184814453,236.3002669685808,232.48464874765904,233.31931239062584,28481400,AAPL
2024-12-02,238.06895446777344,239.26133321145704,235.654388648958,235.76369091824088,48137100,AAPL
2024-12-03,241.10952758789062,241.21882985808793,237.3833345065081,238.28756099978403,38861000,AAPL
2024-12-04,241.46725463867188,242.56027739454964,239.7184333911867,241.32814402991647,44383900,AAPL
2024-12-05,241.49705505371094,242.98753231090083,240.59284370740727,242.4410361127995,40033900,AAPL
