Date,Close,High,Low,Open,Volume,Ticker,DailyReturnPct,GrowthOf100,MA50,Volatility30,VolumeSpike
2024-07-03,219.6473083496093,219.6473083496093,217.1489461385908,218.11061688690268,37369800,AAPL,,100.0,,,0
2024-07-05,224.39614868164065,224.5052045874235,219.74642480522968,219.74642480522968,60412400,AAPL,2.162029832149237,102.16202983214924,,,0
2024-07-08,225.8634796142578,225.89322076278884,221.3327197032473,225.13973799267995,59085900,AAPL,0.6539020126851369,102.83006940142162,,,0
2024-07-09,226.71609497070312,227.42991284004063,224.4259356098064,225.9725359507888,48076100,AAPL,0.37749146426924174,103.21824413611414,,,0
2024-07-10,230.9791412353516,231.0782884768828,227.28117906796425,227.3307526887298,62627700,AAPL,1.8803456654453043,105.15910391567631,,,0
2024-07-11,225.6156311035156,230.39422897123265,223.83108651749723,229.40281699319425,64710600,AAPL,-2.322075535977053,102.7172300897977,,,0
2024-07-12,228.5601043701172,230.64207551688347,226.71607753741577,226.9540218514806,53046500,AAPL,1.305083895206982,104.05777611730235,,,0
2024-07-15,232.386947631836,235.1926451763578,231.08820043911544,234.44908623752588,62631300,AAPL,1.6743268788160126,105.80004343233253,,,0
2024-07-16,232.80332946777344,234.2408735727901,230.33470860447,232.9817763330093,43234300,AAPL,0.17917608548183583,105.98961180859267,,,0
2024-07-17,226.91436767578125,229.47221227385296,224.69359950369105,227.479464610192,57345900,AAPL,-2.5295865851469257,103.3085128066332,,,0
2024-07-18,222.2547302246093,228.46097889584823,220.3611448415193,228.3023493485251,66034600,AAPL,-2.053478366706918,101.18709484518236,,,0
2024-07-19,222.38360595703125,224.8522270905052,221.3624528868853,222.88923571935769,49151500,AAPL,0.05798559710818996,101.24576878632476,,,0
2024-07-22,222.03663635253903,225.82382229500527,221.1740976327557,225.06043082550624,48201800,AAPL,-0.1560230139263319,101.08780208639145,,,0
2024-07-23,223.0775909423828,224.9910238167192,220.76759935066607,222.44308791792704,39960300,AAPL,0.4688210949975735,101.56172302704188,,,0
2024-07-24,216.66314697265625,222.86939506256107,215.2652677100796,222.0762625279836,61777600,AAPL,-2.87543179152554,98.6413849551012,,,0
2024-07-25,215.6221923828125,218.9533371697593,212.77682977395943,217.0498128962932,51391200,AAPL,-0.4804483846877372,98.16746401445081,,,0
2024-07-26,216.08816528320312,217.60502442671483,214.15489978899527,216.82180047841348,41601300,AAPL,0.21610618797685,98.379609978766,,,0
2024-07-29,216.36575317382807,217.41664743865044,213.8971319294418,215.096747065996,36311800,AAPL,0.1284604782779919,98.50598889627274,,,0
2024-07-30,216.9209442138672,218.437803332798,214.2639522414761,217.3075942808937,46108400,AAPL,0.2565983904084357,98.75875367823647,,,0
2024-07-31,220.1727752685547,221.8978375670677,218.7352309170004,219.53827220377053,50036300,AAPL,1.4990857920484935,100.23923212303107,,,0
2024-08-01,216.4847106933593,222.552146893606,215.1562223313537,222.44309097566543,62501000,AAPL,-1.6750774798096169,98.5601473198041,,,0
2024-08-02,217.97183227539065,223.6625423233413,215.84030263063204,217.2679231335739,105568600,AAPL,0.6869406976910186,99.23719708344807,,,0
2024-08-05,207.4727783203125,211.66644653820467,194.3167378055649,197.3801970311264,119548600,AAPL,-4.816702160769748,94.45723686724229,,,0
2024-08-06,205.45030212402344,208.18660889381388,199.3432157724579,203.53688424769564,69660500,AAPL,-0.9748152083675299,93.53645335685667,,,0
2024-08-07,208.01806640625,211.80525225793107,204.61751548926864,205.12313014700663,63516400,AAPL,1.2498225875941849,94.70549307854517,,,0
2024-08-08,211.4781036376953,212.36045976406425,207.03658185433545,211.27982425167653,47161100,AAPL,1.6633349647083184,96.28076265842003,,,0
2024-08-09,214.38291931152344,214.9182750928265,210.1495861717322,210.2784745623819,42201600,AAPL,1.373577511743096,97.60325356243082,,,0
2024-08-12,215.9114685058593,217.8767320905019,213.9958359256548,214.4623401059105,38028100,AAPL,0.7129995240500842,98.29916429578836,,,0
