Date,Close,High,Low,Open,Volume,Ticker
2024-07-03,219.64730834960932,219.64730834960932,217.1489461385908,218.11061688690268,37369800,AAPL
2024-07-05,224.3961944580078,224.50525038603783,219.74646963306245,219.74646963306245,60412400,AAPL
2024-07-08,225.8634796142578,225.89322076278884,221.3327197032473,225.13973799267995,59085900,AAPL
2024-07-09,226.7160797119141,227.4298975332092,224.4259205051531,225.97252074204383,48076100,AAPL
2024-07-10,230.9791412353516,231.0782884768828,227.28117906796425,227.3307526887298,62627700,AAPL
2024-07-11,225.61561584472656,230.39421338925845,223.83107137940016,229.40280147827104,64710600,AAPL
2024-07-12,228.5601043701172,230.64207551688347,226.71607753741577,226.9540218514806,53046500,AAPL
2024-07-15,232.386962890625,235.1926606193721,231.0882156126273,234.44910163171727,62631300,AAPL
2024-07-16,232.80337524414065,234.2409196318231,230.3347538954296,232.9818221444648,43234300,AAPL
2024-07-17,226.91436767578125,229.47221227385296,224.69359950369105,227.479464610192,57345900,AAPL
2024-07-18,222.2547149658203,228.46096321097224,220.36112971273343,228.3023336745397,66034600,AAPL
2024-07-19,222.38360595703125,224.8522270905052,221.3624528868853,222.88923571935769,49151500,AAPL
2024-07-22,222.0366058349609,225.8237912569016,221.17406723372827,225.06039989232605,48201800,AAPL
2024-07-23,223.07760620117188,224.9910392063895,220.7676144514488,222.44310313331528,39960300,AAPL
2024-07-24,216.6631622314453,222.86941075843336,215.26528287042115,222.07627816799848,61777600,AAPL
2024-07-25,215.62217712402344,218.95332167523745,212.77681471652627,217.0497975364767,51391200,AAPL
2024-07-26,216.0881500244141,217.6050090608147,214.15488466672127,216.8217851678197,41601300,AAPL
2024-07-29,216.36573791503903,217.41663210574904,213.8971168447476,215.0967318967012,36311800,AAPL
2024-07-30,216.92092895507807,218.43778796730905,214.2639371695869,217.3075789949067,46174400,AAPL
2024-07-31,220.1727752685547,221.8978375670677,218.7352309170004,219.53827220377053,50036300,AAPL
2024-08-01,216.48472595214844,222.5521625800544,215.15623749650504,222.4431066544272,62501000,AAPL
2024-08-02,217.9718170166016,223.6625266661827,215.8402875210575,217.2679079240609,105568600,AAPL
2024-08-05,207.4727935791016,211.6664621054212,194.3167520967801,197.3802115476467,119548600,AAPL
2024-08-06,205.4502868652344,208.18659343179937,199.343200967242,203.5368691310161,69660500,AAPL
2024-08-07,208.01806640625,211.80525225793107,204.61751548926864,205.12313014700663,63516400,AAPL
2024-08-08,211.47808837890625,212.36044444161047,207.0365669160157,211.279809007194,47161100,AAPL
2024-08-09,214.3829345703125,214.9182903897197,210.1496011292121,210.27848952903548,42201600,AAPL
2024-08-12,215.9114532470703,217.8767166928247,213.9958208022464,214.46232494953352,38028100,AAPL
2024-08-13,219.6236267089844,220.2390087017958,217.38043273085665,217.38043273085665,44155300,AAPL
2024-08-14,220.0702972412109,221.3705477847693,218.06532277692483,218.92885985517657,41960600,AAPL
2024-08-15,223.0479736328125,223.6732909687273,221.10255033510867,222.9288713384501,46414000,AAPL
2024-08-16,224.3680877685547,225.1422830006272,221.98593577772976,222.25393109506464,44340200,AAPL
2024-08-19,224.2092742919922,224.30853630427512,221.380473539752,224.0405409873165,40687800,AAPL
2024-08-20,224.8246459960937,225.47973889834265,223.7725353535306,224.0901616619868,30299000,AAPL
2024-08-21,224.7154693603516,226.2837152200136,223.375523094966,224.8345868015738,34765500,AAPL
2024-08-22,222.85939025878903,226.64103964823343,222.2340729078472,226.09512887719345,43695300,AAPL
2024-08-23,225.1521759033203,226.5219127536932,222.66085720360692,223.9809630537733,38677300,AAPL
2024-08-26,225.4896697998047,225.58893181224727,222.22415556593285,225.07279660900764,30602200,AAPL
2024-08-27,226.33334350585932,227.1472495725316,223.2167072550592,224.31844891527624,35934600,AAPL
2024-08-28,224.80479431152344,228.14971479709,224.0008084384826,226.22414704916852,38052200,AAPL
2024-08-29,228.0802459716797,231.1869621230462,227.1770283167567,228.3879521456165,51906300,AAPL
